Date,Total_cases,New_cases
27/01/2020,1,1
28/01/2020,2,1
29/01/2020,3,1
30/01/2020,4,1
31/01/2020,6,2
01/02/2020,6,0
02/02/2020,6,0
03/02/2020,6,0
04/02/2020,6,0
05/02/2020,6,0
06/02/2020,6,0
07/02/2020,6,0
08/02/2020,6,0
09/02/2020,6,0
10/02/2020,6,0
11/02/2020,6,0
12/02/2020,6,0
13/02/2020,6,0
14/02/2020,6,0
15/02/2020,6,0
16/02/2020,6,0
17/02/2020,7,1
18/02/2020,7,0
19/02/2020,7,0
20/02/2020,8,1
21/02/2020,8,0
22/02/2020,8,0
23/02/2020,8,0
24/02/2020,8,0
25/02/2020,8,0
26/02/2020,10,2
27/02/2020,10,0
28/02/2020,12,2
29/02/2020,16,4
01/03/2020,16,0
02/03/2020,21,5
03/03/2020,23,2
04/03/2020,28,5
05/03/2020,35,7
06/03/2020,45,10
07/03/2020,53,8
08/03/2020,57,4
09/03/2020,74,17
10/03/2020,89,15
11/03/2020,115,26
12/03/2020,138,23
13/03/2020,186,48
14/03/2020,229,43
15/03/2020,261,32
16/03/2020,298,37
17/03/2020,351,53
18/03/2020,393,42
19/03/2020,436,43
20/03/2020,499,63
21/03/2020,535,36
22/03/2020,577,42
23/03/2020,655,78
24/03/2020,726,71
25/03/2020,805,79
26/03/2020,878,73
27/03/2020,944,66
28/03/2020,984,40
29/03/2020,1009,25
30/03/2020,1083,74
31/03/2020,1135,52
01/04/2020,1185,50
02/04/2020,1237,52
03/04/2020,1280,43
04/04/2020,1312,32
05/04/2020,1354,42
06/04/2020,1407,53
07/04/2020,1449,42
08/04/2020,1519,70
09/04/2020,1587,68
10/04/2020,1668,81
11/04/2020,1709,41
12/04/2020,1733,24
13/04/2020,1773,40
14/04/2020,1817,44
15/04/2020,1848,31
16/04/2020,1874,26
17/04/2020,1914,40
18/04/2020,1929,15
19/04/2020,1943,14
20/04/2020,1968,25
21/04/2020,1994,26
22/04/2020,2043,49
23/04/2020,2063,20
24/04/2020,2092,29
25/04/2020,2106,14
26/04/2020,2117,11
27/04/2020,2141,24
28/04/2020,2162,21
29/04/2020,2190,28
30/04/2020,2201,11
01/05/2020,2223,22
02/05/2020,2235,12
03/05/2020,2243,8
04/05/2020,2262,19
05/05/2020,2275,13
06/05/2020,2302,27
07/05/2020,2315,13
08/05/2020,2339,24
09/05/2020,2350,11
10/05/2020,2353,3
11/05/2020,2373,20
12/05/2020,2388,15
13/05/2020,2408,20
14/05/2020,2432,24
15/05/2020,2447,15
16/05/2020,2462,15
17/05/2020,2469,7
18/05/2020,2508,39
19/05/2020,2552,44
20/05/2020,2588,36
21/05/2020,2609,21
22/05/2020,2636,27
23/05/2020,2653,17
24/05/2020,2655,2
25/05/2020,2662,7
26/05/2020,2692,30
27/05/2020,2731,39
28/05/2020,2754,23
29/05/2020,2798,44
30/05/2020,2814,16
31/05/2020,2824,10
01/06/2020,2858,34
02/06/2020,2883,25
03/06/2020,2924,41
04/06/2020,2960,36
05/06/2020,2997,37
06/06/2020,3010,13
07/06/2020,3028,18
08/06/2020,3067,39
09/06/2020,3113,46
10/06/2020,3176,63
11/06/2020,3226,50
12/06/2020,3284,58
13/06/2020,3305,21
14/06/2020,3318,13
15/06/2020,3380,62
16/06/2020,3473,93
17/06/2020,3564,91
18/06/2020,3666,102
19/06/2020,3777,111
20/06/2020,3827,50
21/06/2020,3864,37
22/06/2020,3969,105
23/06/2020,4158,189
24/06/2020,4304,146
25/06/2020,4437,133
26/06/2020,4574,137
27/06/2020,4685,111
28/06/2020,4745,60
29/06/2020,4886,141
30/06/2020,5075,189
01/07/2020,5260,185
02/07/2020,5444,184
03/07/2020,5522,78
04/07/2020,5566,44
05/07/2020,5661,95
06/07/2020,5912,251
07/07/2020,6202,290
08/07/2020,6485,283
09/07/2020,6766,281
10/07/2020,7010,244
11/07/2020,7191,181
12/07/2020,7310,119
13/07/2020,7515,205
14/07/2020,7866,351
15/07/2020,8249,383
16/07/2020,8588,339
17/07/2020,8883,295
18/07/2020,9055,172
19/07/2020,9140,85
20/07/2020,9356,216
21/07/2020,9664,308
22/07/2020,9964,300
23/07/2020,10245,281
24/07/2020,10491,246
25/07/2020,10617,126
26/07/2020,10703,86
27/07/2020,10879,176
